eixo tematico,titulo do trabalho,palavrachave 1,palavrachave 2,palavrachave 3,palavrachave 4,palavrachave 5
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,ferramenta de avaliacao por rubrica no google classroom desenvolvendo competencias digitais por meio de uma oficina pedagogica para licenciandos em quimica,avaliacao formativa,tecnologias educacionais,competencias digitais,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,figuras figuras geometricas planas e espaciais uma investigacao acerca das concepcoes de futuros professores e professores que ensinam matematica,figura,figuras geometricas,tecnologias digitais de informacao e comunicacao,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao continuada de professores em educacao ambiental caminhos pedagogicos das atividades formativas online,formacao continuada de professores,educacao ambiental,educacao basica,revisao sistematica,metodologias de ensino
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao continuada de professores na educacao infantil possibilidades e fragilidades em contexto de formacao remota,educacao infantil,formacao continuada,ensino remoto,pandemia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao de professores de quimica em tecnologias digitais da informacao e da comunicacao tdic desafios da contemporaneidade










formacao de professores,tdic,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao de professores e tecnologias uma revisao de literatura,formacao de professores,tecnologias digitais,curso de pedagogia,pospandemia,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao de professores para a inovacao em educacao dimensoes alem de aplicativos e dispositivos,inovacao,tecnologias digitais,formacao de professores,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,formacao docente em tecnologias digitais de informacao e comunicacao estudo de caso na educacao publica de barueri no contexto da pandemia da covid19,formacao de professores,tpack,tdic,professor reflexivo,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,implantacao do ensino remoto emergencial implicacoes para a educacao infantil,educacao infantil,ensino remoto emergencial,praticas pedagogicas,nd,nd
eixo tematico 2  o professor a docencia e as suas praticas pedagogicas no contexto das tdic,inovacao e a integracao de tecnologias digitais na formacao docente inicial

inovacao educacional,tecnologias da informacao e da comunicacao,percepcao discente,nd
